관광숙박업등록현황(2015년8월),,,,,,,,,,
업종별,상 호 명,소재지,등급,객실수,전화번호,홈페이지,부대시설,주변관광지,비 고,데이터기준일
관광호텔,풍남관광호텔,전주시 완산구 객사2길 45-7,2,63,063-231-7900,www.pungnamhotel.com,"연회장, 커피숍, 인터넷센터","전주한옥마을, 남부시장",-,2015.08.30
관광호텔,전주코아호텔,전주시 완산구 팔달로 262-2,특2,111,,,,,휴업중,2015.08.30
관광호텔,㈜호텔르윈,전주시 완산구 기린대로 85,특2,166,063-232-7000,hotellewin.com,,"전주한옥마을, 남부시장",(구)전주코아리베라,2015.08.30
관광호텔,전주호텔한성,전주시 완산구 전주객사5길 44-5,2,40,063-288-0014,hansunghotel.kr,"세미나실, 조식식당","전주한옥마을, 남부시장, 영화의거리",-,2015.08.30
관광호텔,째즈어라운드호텔,전주시 덕진구 정언신로 182,1,35,063-247-5900,www.jazzaroundhotel.co.kr,"세미나실, 캘러리레스토랑","전주한옥마을, 남부시장",-,2015.08.30
관광호텔,화이트관광호텔,전주시 덕진구 전주천동로 501,2,35,063-271-0123,www.whitehotel.kr,"세미나룸, 조식바","덕진공원, 전주한옥마을",-,2015.08.30
관광호텔,궁관광호텔,전주시 덕진구 용산1길 17-4,3,30,063-255-3311,www.jjgung.co.kr,"세미나룸, 비즈니스룸, 한식당","전주한옥마을, 덕진공원",-,2015.08.30
관광호텔,전주한옥태조궁관광호텔,전주시 완산구 전라감영로 40,3,30,063-287-6400,www.taejogung.com,"갤러리미술관, 세미나실, 비즈니스룸","전주한옥마을, 남부시장",-,2015.08.30
관광호텔,전주관광호텔,전주시 완산구 객사5길 44-5,3,31,063-280-7700,jeonjuhotel.co.kr,"웨딩홀, 연회장, 건식사우나실","전주한옥마을, 전동성당, 남부시장",-,2015.08.30
관광호텔,전주영화호텔,전주시 완산구 전주객사2길 28-27,미정,71,063-230-5000,www.yeonghwahotel.com,"영화도서관, 컨벤션홀, 하늘정원","전주영화의거리, 한옥마을",,2015.08.30
관광호텔,로니관광호텔,전주시 완산구 전주객사4길 74-50,미정,81,063-281-1000,www.hotelroni.com,"레스토랑, 연회장, 카페테리아","전주영화의거리, 한옥마을",,2015.08.30
관광호텔,JS관광호텔,전주시 완산구 팔달로 212-9,미정,59,063-288-9880,js-hotel.com,"VIP룸, 연회장, 카페","전주영화의거리, 한옥마을",,2015.08.30
관광호텔,군산폭스관광호텔,군산시 백릉안1길 8,2,47,063-443-4077,폭스관광호텔.com,,"은파유원지, 군산근대역사박물관, 군산센트리클럽",-,2015.08.30
관광호텔,군산리버힐관광호텔,군산시 성산면 철새로 56,1,147,063-453-0005,www.063-453-0005.bestbz.com,"웨딩홀, 카페, 테라스","금강하구둑, 군산근대역사박물관",-,2015.08.30
관광호텔,군산오스카관광호텔,군산시 소룡1길 55,2,48,063-464-0505,www.oscarhotel.kr/,레스토랑,"군산근대역사박물관, 은파유원지",-,2015.08.30
관광호텔,리츠프라자호텔,군산시 한밭안길 30,1,58,063-468-5157,www.ritzplaza.co.kr,"세미나실, 웨딩홀","은파유원지, 무녀도, 군산컨트리클럽, 군산근대역사박물관",-,2015.08.30
관광호텔,아네스빌관광호텔,군산시 부원로 24,2,42,063-468-2128,www.anes.kr,,"은파유원지, 군산근대역사박물관",-,2015.08.30
관광호텔,타워팰리스관광호텔,군산시 부곡1길 52,2,40,063-463-0860,www.타워팰리스관광호텔.kr,"커뮤니티룸, 식당","은파유원지, 금강철새조망대, 새만금방조제",-,2015.08.30
관광호텔,웰컴관광호텔,군산시 가도2길 57,3,42,063-461-9901,www.웰컴관광호텔.kr,레스토랑,"새만금방조제, 은파유원지",-,2015.08.30
관광호텔,베니키아 아리울,군산시 가도안1길 45,2,45,063-464-2005,www.gunsanariul.com,"세미나실, 레스토랑","새만금방조제, 은파유원지",-,2015.08.30
관광호텔,애플트리관광호텔,군산시 가도안1길 17,3성,105,063-734-1234,appletreehotels.com/gunsan/,"휘트니스룸, 비즈니스룸, 마사지체어","새만금방조제, 은파유원지",-,2015.08.30
관광호텔,해뜨는언덕,군산시 부곡3길 6,3,40,063-468-0707,www.fmotel.co.kr,"비즈니스실, 휴게실","은파유원지, 군산근대역사박물관",-,2015.08.30
관광호텔,베스트웨스턴군산호텔,군산시 새만금북로 435,특2,181,063-469-1234,www.gunsanhotel.co.kr,"야외수영장, 휘트니스, 사우나","새만금방조제, 은파유원지",-,2015.08.30
관광호텔,익산비즈니스관광호텔,익산시 인북로 10,미정,38,063-853-7171,www.iksanbusinesshotel.kr,"레스토랑, 오피스룸, 회의실","미륵사지, 왕궁리유적",-,2015.08.30
관광호텔,내장산관광호텔,정읍시 내장산로 951,1,104,,,,,휴업중,2015.08.30
관광호텔,지리산구룡관광호텔,남원시 인월면 천왕봉로 143,2,54,063-631-6300,www.guryonghotel.com,,"지리산둘레길, 바래봉, 뱀사골, 광한루원",-,2015.08.30
관광호텔,스위트관광호텔,남원시 주천면 원천로 217,미정,59,063-630-7100,namwon.suites.co.kr,"회의장, 비즈니스센터, 레스토랑","광한루원, 춘향테마파크, 항공우주천문대",-,2015.08.30
관광호텔,대둔산관광호텔,완주군 운주면 대둔산공원길 37,2,68,063-263-1260,www.dhotel.kr,"온천사우나, 연회장",대둔산도립공원,영업일시중단(15.8.1.~),2015.08.30
관광호텔,호텔티롤,무주군 설천면 만선로 185,특1,118,063-320-7200,www.mdysresort.com,,"덕유산국립공원, 무주덕유산리조트",-,2015.08.30
관광호텔,채석강스타힐스 호텔,부안군 변산면 채석강길 33,2,35,063-581-9911,www.starhillshotel.com,"마사지실, 식음료장, 바베큐장, 노래연습장","채석강, 내소사, 부안영상테마파크",-,2015.08.30
가족호텔,호텔마음,남원시 소리길 124,-,36,063-631-9999,www.maumhotel.com,"연회장, 당구장, 라이브공연장","춘향테마파크, 광한루원",-,2015.08.30
가족호텔,무주덕유산리조트가족호텔,무주군 설천면 만선로 185,-,974,063-320-7000,www.mdysresort.com,,"덕유산국립공원, 무주덕유산리조트",-,2015.08.30
가족호텔,무주덕유산리조트국민호텔,무주군 설천면 만선로 185,-,418,063-320-7000,www.mdysresort.com,,"덕유산국립공원, 무주덕유산리조트",하계 및 동계기간만 오픈,2015.08.30
가족호텔,대명리조트변산가족호텔,부안군 변산면 변산해변로 51,-,504,1588-4888,www.daemyungresort.com/bs/,"뮤직시티, 스크린골프장, 세그웨이","채석강, 부안영상테마파크",-,2015.08.30
가족호텔,모항해나루가족호텔,부안군 변산면 모항해변길 73,-,112,063-580-0700,www.haenaruhotel.co.kr,"수영장, 사우나, 연회장","국립변산자연휴양림, 곰소항",-,2015.08.30
